1.01353	1.36247
1.3243	1.04223
1.73037	0.797141
2.26095	0.609567
2.95421	0.466012
3.86005	0.356145
5.04365	0.272063
6.59016	0.207713
8.61088	0.158467
11.2512	0.12078
14.7011	0.0919415
19.2089	0.0698761
25.0988	0.0529969
32.7948	0.0400907
42.8505	0.0302308
55.9896	0.0227121
73.1575	0.0170007
80	0.0154
85	0.0145
90	0.0136
95.5895	0.0126985
100	0.0121
105	0.0115
110	0.0109
115	0.0103
120	0.0099
124.9	0.00951373
130	0.009
135	0.0086
140	0.0082
145	0.0079
150	0.0077
155	0.0075
160	0.0073
163.197	0.00722892
213.238	0.00565598
278.622	0.0046067
364.055	0.00390928
475.684	0.00343309
621.542	0.00309183


